ActivityCenter YundaExpress 320
ActivityCenter BasketballCourt 256
YundaExpress TennisCourt 135
YundaExpress 3GStore 185
TennisCourt BasketballCourt 94
BasketballCourt YuantongExpress 64
TennisCourt ICBC 137
BasketballCourt ChengyiBuilding 245
3GStore ICBC 59
3GStore ZhengxinBuilding 108
3GStore Supermarket 75
ICBC ChengyiBuilding 143
ZhengxinBuilding Library 210
Supermarket ZhizhiBuilding 72
Library ZhizhiBuilding 179
ZhizhiBuilding Gourmet 118
Gourmet ChengyiBuilding 114
ChengyiBuilding SecondAppartment 130
SecondAppartment Hospital 112
